"cell_type","cells","mean_signal","sd_signal","median_signal","min_signal","max_signal"
"Neural-like",2444,1.00454845023053,0.00473360922030344,1.00438047538663,0.988832636622813,1.02975928151316
"Hypoxic-Mesenchymal-like",1991,1.00169111897274,0.00453154607004657,1.00154243074874,0.985184668319057,1.02009298886106
"Mesenchymal-like",1681,1.00285858492691,0.00400205173822739,1.00275188100049,0.989261606550826,1.03768809912747
"Cycling-S-phase",1036,1.00438485024623,0.00448999564541931,1.00429123835714,0.986657508448941,1.01865102148309
"Neural-like-mixed",1009,1.00327735374728,0.00689701781556428,1.00301324572155,0.99148378493862,1.18709369845549
"OPC-like",1000,1.00421819125723,0.00428804343642708,1.00401131618887,0.990579586481673,1.0182437586874
"Vascular-Mesenchymal-like",999,1.00312842496442,0.00378754016558546,1.00308169299492,0.982839842784865,1.01790614102514
"OPC-Neural-like",720,1.0021315658268,0.00470494822767233,1.00230257082611,0.985102333995919,1.01613762649981
"Cycling-G2M",570,1.00266364648719,0.00437530393426387,1.00274771707186,0.988526450510385,1.0168750471985
"Cycling-Mixed",528,1.0040723211789,0.00355568663137832,1.00385790040843,0.993994404737049,1.01798471499521
"Astrocyte-like",522,1.0027258860747,0.00405581163044446,1.00251947381441,0.991987155799618,1.01540321685816
"Microglia-Macrophage",396,1.00436639858679,0.00241029916832238,1.00421853603974,0.996932751638354,1.01158696683438
"Highly-Cycling",190,1.00205186913569,0.00478386368021576,1.00196290258399,0.989972556673167,1.01814532801426
"Endothelial",109,1.00445184670729,0.00325394345203412,1.00463139073481,0.996534076479614,1.01235659928265
"Mast-cell",102,1.00182720656218,0.00270066222350305,1.00170574794047,0.995472843481618,1.01122415582911
"Oligodendrocyte",35,1.00203323060345,0.00342954270457515,1.00239391325396,0.994031347539771,1.00949816646255
