"cell_type","cells","mean_signal","sd_signal","median_signal","min_signal","max_signal"
"Neural-like",2444,1.00454845023053,0.00473360922030344,1.0013341229887,0.607944374492574,1.74826123983648
"Hypoxic-Mesenchymal-like",1991,1.00169111897274,0.00453154607004657,1.0013341229887,0.611533443959225,1.60247456995742
"Mesenchymal-like",1681,1.00285858492691,0.00400205173822739,1.0013341229887,0.631474365681603,1.51977024117969
"Cycling-S-phase",1036,1.00438485024623,0.00448999564541931,1.0013341229887,0.613047812928241,1.60197676712062
"Neural-like-mixed",1009,1.00327735374728,0.00689701781556428,1.0013341229887,0.667648234020807,2.63772323861686
"OPC-like",1000,1.00421819125723,0.00428804343642708,1.0013341229887,0.644578195149145,1.63439088575568
"Vascular-Mesenchymal-like",999,1.00312842496442,0.00378754016558546,1.0013341229887,0.626001813492906,1.48539842810418
"OPC-Neural-like",720,1.0021315658268,0.00470494822767233,1.0013341229887,0.635871329403296,1.57092680619867
"Microglia-Macrophage",632,1.00446285625374,0.00247667335879378,1.0013341229887,0.694598541118024,1.49426301351994
"Cycling-G2M",570,1.00266364648719,0.00437530393426387,1.0013341229887,0.650618160229049,1.78822329842486
"Cycling-Mixed",528,1.0040723211789,0.00355568663137832,1.0013341229887,0.679732437169566,1.45544749997002
"Astrocyte-like",522,1.0027258860747,0.00405581163044446,1.0013341229887,0.637134626563359,1.54738714660879
"Highly-Cycling",190,1.00205186913569,0.00478386368021576,1.0013341229887,0.641615139968837,1.65892648709246
"Endothelial",109,1.00445184670729,0.00325394345203412,1.0013341229887,0.712533548161126,1.39986044316891
"Mast-cell",102,1.00182720656218,0.00270066222350305,1.0013341229887,0.70467636573378,1.36597168945585
"Oligodendrocyte",99,1.00235186279207,0.00354062566761689,1.0013341229887,0.660995502371235,1.38421081603606
