"sample_id","cell_type","cells"
"SRR10353960","Neural-like",2436
"SRR10353961","Neural-like",7
"SRR10353962","Neural-like",1
"SRR10353960","Hypoxic-Mesenchymal-like",8
"SRR10353961","Hypoxic-Mesenchymal-like",1983
"SRR10353962","Hypoxic-Mesenchymal-like",0
"SRR10353960","Mesenchymal-like",3
"SRR10353961","Mesenchymal-like",39
"SRR10353962","Mesenchymal-like",1639
"SRR10353960","Cycling-S-phase",1036
"SRR10353961","Cycling-S-phase",0
"SRR10353962","Cycling-S-phase",0
"SRR10353960","Neural-like-mixed",0
"SRR10353961","Neural-like-mixed",2
"SRR10353962","Neural-like-mixed",1007
"SRR10353960","OPC-like",998
"SRR10353961","OPC-like",2
"SRR10353962","OPC-like",0
"SRR10353960","Vascular-Mesenchymal-like",0
"SRR10353961","Vascular-Mesenchymal-like",999
"SRR10353962","Vascular-Mesenchymal-like",0
"SRR10353960","OPC-Neural-like",0
"SRR10353961","OPC-Neural-like",716
"SRR10353962","OPC-Neural-like",4
"SRR10353960","Microglia-Macrophage",88
"SRR10353961","Microglia-Macrophage",88
"SRR10353962","Microglia-Macrophage",456
"SRR10353960","Cycling-G2M",3
"SRR10353961","Cycling-G2M",564
"SRR10353962","Cycling-G2M",3
"SRR10353960","Cycling-Mixed",0
"SRR10353961","Cycling-Mixed",1
"SRR10353962","Cycling-Mixed",527
"SRR10353960","Astrocyte-like",7
"SRR10353961","Astrocyte-like",91
"SRR10353962","Astrocyte-like",424
"SRR10353960","Highly-Cycling",190
"SRR10353961","Highly-Cycling",0
"SRR10353962","Highly-Cycling",0
"SRR10353960","Endothelial",0
"SRR10353961","Endothelial",2
"SRR10353962","Endothelial",107
"SRR10353960","Mast-cell",4
"SRR10353961","Mast-cell",85
"SRR10353962","Mast-cell",13
"SRR10353960","Oligodendrocyte",18
"SRR10353961","Oligodendrocyte",73
"SRR10353962","Oligodendrocyte",8
