"sample_id","cell_type","cells","total_cells","percent"
"SRR10353960","Neural-like",2436,4791,50.8453350031309
"SRR10353961","Neural-like",7,4652,0.150472914875322
"SRR10353962","Neural-like",1,4189,0.023872045834328
"SRR10353960","Hypoxic-Mesenchymal-like",8,4791,0.166979753704863
"SRR10353961","Hypoxic-Mesenchymal-like",1983,4652,42.6268271711092
"SRR10353962","Hypoxic-Mesenchymal-like",0,4189,0
"SRR10353960","Mesenchymal-like",3,4791,0.0626174076393237
"SRR10353961","Mesenchymal-like",39,4652,0.838349097162511
"SRR10353962","Mesenchymal-like",1639,4189,39.1262831224636
"SRR10353960","Cycling-S-phase",1036,4791,21.6238781047798
"SRR10353961","Cycling-S-phase",0,4652,0
"SRR10353962","Cycling-S-phase",0,4189,0
"SRR10353960","Neural-like-mixed",0,4791,0
"SRR10353961","Neural-like-mixed",2,4652,0.0429922613929493
"SRR10353962","Neural-like-mixed",1007,4189,24.0391501551683
"SRR10353960","OPC-like",998,4791,20.8307242746817
"SRR10353961","OPC-like",2,4652,0.0429922613929493
"SRR10353962","OPC-like",0,4189,0
"SRR10353960","Vascular-Mesenchymal-like",0,4791,0
"SRR10353961","Vascular-Mesenchymal-like",999,4652,21.4746345657782
"SRR10353962","Vascular-Mesenchymal-like",0,4189,0
"SRR10353960","OPC-Neural-like",0,4791,0
"SRR10353961","OPC-Neural-like",716,4652,15.3912295786758
"SRR10353962","OPC-Neural-like",4,4189,0.095488183337312
"SRR10353960","Microglia-Macrophage",88,4791,1.8367772907535
"SRR10353961","Microglia-Macrophage",88,4652,1.89165950128977
"SRR10353962","Microglia-Macrophage",456,4189,10.8856529004536
"SRR10353960","Cycling-G2M",3,4791,0.0626174076393237
"SRR10353961","Cycling-G2M",564,4652,12.1238177128117
"SRR10353962","Cycling-G2M",3,4189,0.071616137502984
"SRR10353960","Cycling-Mixed",0,4791,0
"SRR10353961","Cycling-Mixed",1,4652,0.0214961306964746
"SRR10353962","Cycling-Mixed",527,4189,12.5805681546909
"SRR10353960","Astrocyte-like",7,4791,0.146107284491755
"SRR10353961","Astrocyte-like",91,4652,1.95614789337919
"SRR10353962","Astrocyte-like",424,4189,10.1217474337551
"SRR10353960","Highly-Cycling",190,4791,3.9657691504905
"SRR10353961","Highly-Cycling",0,4652,0
"SRR10353962","Highly-Cycling",0,4189,0
"SRR10353960","Endothelial",0,4791,0
"SRR10353961","Endothelial",2,4652,0.0429922613929493
"SRR10353962","Endothelial",107,4189,2.5543089042731
"SRR10353960","Mast-cell",4,4791,0.0834898768524316
"SRR10353961","Mast-cell",85,4652,1.82717110920034
"SRR10353962","Mast-cell",13,4189,0.310336595846264
"SRR10353960","Oligodendrocyte",18,4791,0.375704445835942
"SRR10353961","Oligodendrocyte",73,4652,1.56921754084265
"SRR10353962","Oligodendrocyte",8,4189,0.190976366674624
