"Var1","Var2","Freq"
"0","SRR10353960",2436
"1","SRR10353960",8
"2","SRR10353960",3
"3","SRR10353960",1036
"4","SRR10353960",0
"5","SRR10353960",998
"6","SRR10353960",0
"7","SRR10353960",0
"8","SRR10353960",88
"9","SRR10353960",3
"10","SRR10353960",0
"11","SRR10353960",7
"12","SRR10353960",190
"13","SRR10353960",0
"14","SRR10353960",4
"15","SRR10353960",18
"0","SRR10353961",7
"1","SRR10353961",1983
"2","SRR10353961",39
"3","SRR10353961",0
"4","SRR10353961",2
"5","SRR10353961",2
"6","SRR10353961",999
"7","SRR10353961",716
"8","SRR10353961",88
"9","SRR10353961",564
"10","SRR10353961",1
"11","SRR10353961",91
"12","SRR10353961",0
"13","SRR10353961",2
"14","SRR10353961",85
"15","SRR10353961",73
"0","SRR10353962",1
"1","SRR10353962",0
"2","SRR10353962",1639
"3","SRR10353962",0
"4","SRR10353962",1007
"5","SRR10353962",0
"6","SRR10353962",0
"7","SRR10353962",4
"8","SRR10353962",456
"9","SRR10353962",3
"10","SRR10353962",527
"11","SRR10353962",424
"12","SRR10353962",0
"13","SRR10353962",107
"14","SRR10353962",13
"15","SRR10353962",8
