"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.226214575339,0.971,0.293,0,"0","MARCHF9"
0,2.44990287196863,0.888,0.243,0,"0","BASP1"
0,1.90692274362572,0.854,0.227,0,"0","CDKN2A"
0,2.52476747267332,0.963,0.367,0,"0","TSPAN31"
0,2.36101937999677,0.773,0.184,0,"0","CYP27B1"
0,2.02989303961501,0.863,0.293,0,"0","METTL1"
0,1.96521430723652,0.962,0.401,0,"0","TSFM"
0,2.36876576072566,0.796,0.236,0,"0","TNR"
0,1.80869063869453,0.769,0.216,0,"0","ATP23"
0,1.79279735951442,0.984,0.439,0,"0","GIHCG"
0,2.24614799905918,0.894,0.369,0,"0","NTRK2"
0,2.14924103384646,0.679,0.182,0,"0","NNAT"
0,1.98502572154518,0.741,0.263,0,"0","ASCL1"
0,2.32106876434406,0.741,0.277,0,"0","SCG3"
0,1.85805409879626,0.807,0.352,0,"0","CTDSP2"
0,1.79916325494827,0.758,0.32,0,"0","DNER"
0,2.04978460150323,0.802,0.374,0,"0","HES6"
0,1.74555562704517,0.69,0.265,0,"0","ALCAM"
0,1.69221305489059,0.688,0.271,0,"0","DLL3"
0,2.55342000949404,0.581,0.172,0,"0","AVIL"
0,1.61897948415724,0.774,0.37,0,"0","LSAMP"
0,1.36630935369052,0.883,0.481,0,"0","PMP2"
0,2.78631542772758,0.521,0.122,0,"0","LINC00632"
0,1.62323880474318,0.877,0.482,0,"0","SOX2-OT"
0,2.54927856597941,0.52,0.129,0,"0","ENSG00000245651"
0,2.02006237826624,0.627,0.238,0,"0","TMEM100"
0,2.40645914622938,0.709,0.321,0,"0","BTG2"
0,1.17258301441522,0.89,0.505,0,"0","PFN2"
0,1.65122742499832,0.879,0.503,0,"0","NFIB"
0,1.34073477755293,0.565,0.193,0,"0","LINC03018"
0,1.98151036080428,0.539,0.171,0,"0","FAM89A"
0,1.60173328263375,0.787,0.428,0,"0","ZBTB16"
0,2.4345292223403,0.487,0.137,0,"0","KLRC2"
0,0.936245217147078,0.949,0.602,0,"0","SCRG1"
0,1.62776055610833,0.814,0.467,0,"0","RBP1"
0,2.67797256638956,0.473,0.127,0,"0","NPPA"
0,1.87896051137477,0.777,0.435,0,"0","OLIG1"
0,1.40343359201362,0.991,0.649,0,"0","CDK4"
0,1.59098324222074,0.836,0.496,0,"0","MAPT"
0,2.73156822818467,0.444,0.105,0,"0","ELAVL4"
0,1.58128310584714,0.764,0.426,0,"0","FAM181B"
0,2.38649759544847,0.484,0.147,0,"0","TOX3"
0,1.96554064343082,0.802,0.468,0,"0","LINC00461"
0,1.48774221119528,0.843,0.511,0,"0","SCD5"
0,1.44488832518582,0.852,0.52,0,"0","EGR1"
0,1.84346105509586,0.677,0.348,0,"0","OLIG2"
0,2.92435929633863,0.413,0.09,0,"0","SYT1"
0,1.80452272207054,0.913,0.594,0,"0","OS9"
0,1.7536583939657,0.965,0.648,0,"0","MIR9-1HG"
0,2.60730281561079,0.416,0.105,0,"0","LRRC4C"
0,1.55437049821813,0.857,0.55,0,"0","SOX4"
0,2.5383157869236,0.394,0.103,0,"0","MIAT"
0,1.35719851557577,0.895,0.634,0,"0","MEG3"
0,1.3900729061218,0.939,0.682,0,"0","FOS"
0,1.03812876750649,0.961,0.733,0,"0","MARCKSL1"
0,1.20821430531128,0.863,0.64,0,"0","RTN3"
0,1.1707193554354,0.966,0.777,0,"0","MARCKS"
1.06826778848476e-298,1.04605629957288,0.903,0.675,4.12415462422427e-294,"0","GPM6A"
9.67104831590086e-297,1.12498394024957,0.897,0.635,3.73360491283669e-292,"0","PCSK1N"
1.27247982197506e-296,3.16163767134565,0.3,0.06,4.91253560071693e-292,"0","IRX1"
3.99280415524499e-294,1.51724835716737,0.721,0.407,1.54146197217388e-289,"0","CHD7"
4.41648086878852e-290,2.0204678257414,0.463,0.149,1.7050266042045e-285,"0","COL11A1"
1.07271067467393e-288,0.937313397510048,0.991,0.875,4.14130683064619e-284,"0","PTN"
1.48390996591247e-283,2.05421748420955,0.507,0.192,5.7287828144017e-279,"0","CNTN1"
8.56086444324719e-278,2.42908769531802,0.383,0.109,3.30500732696001e-273,"0","AGAP2"
2.19423084226849e-273,1.06333718925242,0.961,0.805,8.47104758966172e-269,"0","CKB"
2.76185291494669e-267,1.44659553040419,0.692,0.355,1.06624093634432e-262,"0","GRIA2"
1.17677548358216e-265,1.56544241809114,0.608,0.274,4.5430594319173e-261,"0","LHFPL3"
1.3130738268607e-263,1.94393836278071,0.453,0.157,5.06925281597841e-259,"0","MROCKI"
9.32442923093758e-258,1.82333906343435,0.512,0.205,3.59978914889576e-253,"0","STMN4"
2.3227384767571e-257,1.20906590327924,0.846,0.641,8.96716416336847e-253,"0","WSB1"
5.03911186968443e-251,1.65247550615272,0.542,0.223,1.94539952841037e-246,"0","CD24"
2.39068340347113e-249,1.33290133989296,0.745,0.489,9.22947234744065e-245,"0","FHL1"
1.58908797942566e-243,2.48780312608662,0.375,0.12,6.13483305337071e-239,"0","EEF1AKMT3"
2.41643715632661e-243,2.78030128752689,0.256,0.05,9.3288972857145e-239,"0","MASP1"
2.31545977730895e-240,2.12524253529864,0.402,0.135,8.93906401627893e-236,"0","GRID2"
1.76926948778817e-239,2.18952919067353,0.365,0.112,6.830441784555e-235,"0","NDN"
6.46395125845865e-239,2.17853873586995,0.359,0.109,2.49547302284055e-234,"0","BEX5"
1.21159588211582e-235,0.984967131036102,0.867,0.64,4.67748706249635e-231,"0","TSC22D1"
8.7352703511825e-235,0.84466170978603,0.956,0.795,3.37233847177751e-230,"0","SOX2"
1.34779359683094e-232,0.610566823003893,0.982,0.978,5.20329195992552e-228,"0","RPL7"
1.58339560341163e-230,1.67634587881517,0.563,0.276,6.11285706653095e-226,"0","SULF2"
3.06322383669719e-230,2.73325363719577,0.287,0.071,1.18258819439532e-225,"0","NECTIN1"
1.72503789591993e-229,0.819319406603312,0.881,0.626,6.65968130098847e-225,"0","FXYD6"
3.93068519230757e-228,1.42579566192916,0.649,0.366,1.51748032534226e-223,"0","MIR99AHG"
8.89606729313426e-227,0.963025930271779,0.797,0.438,3.43441573918741e-222,"0","BCAN"
1.7268994371894e-225,2.16664820397247,0.549,0.276,6.6668679672134e-221,"0","ARC"
2.10993774642137e-225,0.685740471138828,0.999,0.99,8.14562566383434e-221,"0","MALAT1"
5.38613950310698e-225,1.1061437668284,0.806,0.588,2.07937301656948e-220,"0","QKI"
6.61402229397105e-225,1.4257931724802,0.661,0.398,2.55340944681046e-220,"0","CELF2"
2.35081332298622e-224,2.49465848645357,0.321,0.091,9.07554991472062e-220,"0","VIPR2"
2.79708884667292e-224,1.61707907674489,0.603,0.331,1.07984412014655e-219,"0","GLCCI1"
1.78290390467664e-214,2.03384697782809,0.383,0.135,6.88307881439464e-210,"0","LASP1NB"
2.01525045072537e-214,1.54522918103163,0.484,0.194,7.78007589007035e-210,"0","ENHO"
4.02629302482457e-209,1.80227777108428,0.562,0.278,1.55439068516378e-204,"0","C1QL1"
3.90827895528587e-207,1.47708135194048,0.527,0.24,1.50883017347766e-202,"0","MTSS1"
2.80627956150381e-206,1.6186635922967,0.536,0.273,1.08339228751416e-201,"0","CTNND2"
1.37763943513095e-205,1.15679825921034,0.691,0.391,5.31851480326656e-201,"0","SERPINE2"
7.61545857845874e-204,0.861903188761801,0.842,0.55,2.94002393879978e-199,"0","BEX1"
1.49162865093524e-202,1.98826868099368,0.414,0.166,5.75858156980059e-198,"0","LINC02981"
1.14213234369577e-200,0.790160028210856,0.889,0.778,4.40931612607187e-196,"0","KRT10"
1.48890836191786e-196,0.998294171389239,0.727,0.423,5.74807962202007e-192,"0","VCAN"
1.08170513015557e-191,1.73893598321327,0.497,0.244,4.17603082547858e-187,"0","DPP6"
8.55505259332376e-190,1.80997206876513,0.42,0.172,3.30276360417857e-185,"0","PTPRD"
1.04690505335102e-189,1.33248620791749,0.59,0.309,4.04168164896693e-185,"0","SOX6"
3.02535644413051e-189,1.04706988155965,0.595,0.286,1.16796910882103e-184,"0","CADM2"
8.70761419217408e-189,0.585472133539191,0.991,0.902,3.36166153503072e-184,"0","TUBA1A"
1.85882147006195e-188,1.19538432495705,0.793,0.611,7.17616616732117e-184,"0","BNIP3"
1.76546281836377e-184,1.25768114255145,0.662,0.426,6.81574575657516e-180,"0","PCDH17"
4.08773266186388e-183,1.56641101614869,0.439,0.186,1.57811007143917e-178,"0","DCX"
6.19321819930908e-182,0.569184574192935,0.953,0.894,2.39095381802526e-177,"0","YWHAE"
6.62888346336477e-182,1.07955527904894,0.535,0.243,2.5591467498666e-177,"0","FERMT1"
4.13570117173288e-179,0.772801553888559,0.872,0.733,1.59662879435919e-174,"0","TTC3"
2.40883056702174e-178,1.92821731099968,0.363,0.137,9.29953128704413e-174,"0","NTM"
4.38214880751696e-178,2.15789028161129,0.32,0.11,1.69177236863e-173,"0","SNAP25"
2.25149585192329e-177,1.61446218996935,0.572,0.344,8.69212488593504e-173,"0","TRIM2"
2.86281898193972e-177,1.58270321246622,0.48,0.231,1.10521989616765e-172,"0","FAM110B"
7.54735070159532e-175,1.34071099008369,0.487,0.218,2.91373021185789e-170,"0","NEU4"
2.61471920234905e-173,1.65295448070987,0.412,0.173,1.00943849525887e-168,"0","TTC9B"
3.02399717462662e-173,0.654929026644181,0.982,0.975,1.16744434923635e-168,"0","H3-3B"
5.89274694131435e-172,1.07969754347854,0.706,0.473,2.27495388416382e-167,"0","NCAM1"
7.57199857156327e-172,1.18375856619226,0.66,0.418,2.92324576853771e-167,"0","TSPAN7"
4.83021615336205e-171,1.55424483218057,0.418,0.175,1.86475324816695e-166,"0","IGSF21"
4.03716432603519e-168,1.06095652448559,0.734,0.535,1.55858765970915e-163,"0","KHDRBS3"
4.95714360695185e-167,1.28122274584766,0.592,0.351,1.91375486089983e-162,"0","BCHE"
1.71809358725723e-166,1.34183797016618,0.576,0.348,6.63287210296526e-162,"0","MAGEH1"
1.98258312202144e-166,0.776886638694958,0.887,0.735,7.65396040087595e-162,"0","TCF4"
2.43729228349537e-162,1.48116310456664,0.259,0.074,9.40941058966222e-158,"0","ITM2A"
