"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.27247982197506e-296,3.16163767134565,0.3,0.06,4.91253560071693e-292,"0","IRX1"
0,2.92435929633863,0.413,0.09,0,"0","SYT1"
0,2.78631542772758,0.521,0.122,0,"0","LINC00632"
2.41643715632661e-243,2.78030128752689,0.256,0.05,9.3288972857145e-239,"0","MASP1"
3.06322383669719e-230,2.73325363719577,0.287,0.071,1.18258819439532e-225,"0","NECTIN1"
0,2.73156822818467,0.444,0.105,0,"0","ELAVL4"
0,2.67797256638956,0.473,0.127,0,"0","NPPA"
0,2.60730281561079,0.416,0.105,0,"0","LRRC4C"
0,2.55342000949404,0.581,0.172,0,"0","AVIL"
0,2.54927856597941,0.52,0.129,0,"0","ENSG00000245651"
0,2.5383157869236,0.394,0.103,0,"0","MIAT"
0,2.52476747267332,0.963,0.367,0,"0","TSPAN31"
2.35081332298622e-224,2.49465848645357,0.321,0.091,9.07554991472062e-220,"0","VIPR2"
1.58908797942566e-243,2.48780312608662,0.375,0.12,6.13483305337071e-239,"0","EEF1AKMT3"
0,2.44990287196863,0.888,0.243,0,"0","BASP1"
0,2.4345292223403,0.487,0.137,0,"0","KLRC2"
8.56086444324719e-278,2.42908769531802,0.383,0.109,3.30500732696001e-273,"0","AGAP2"
0,2.40645914622938,0.709,0.321,0,"0","BTG2"
0,2.38649759544847,0.484,0.147,0,"0","TOX3"
0,2.36876576072566,0.796,0.236,0,"0","TNR"
0,3.70295047384428,0.472,0.074,0,"1","NXPH4"
4.48409426248156e-276,2.89580156376528,0.312,0.062,1.73112943097363e-271,"1","RGS6"
0,2.8461949721807,0.398,0.082,0,"1","NDUFA4L2"
0,2.72426207102308,0.801,0.274,0,"1","IGFBP3"
2.29435278906924e-198,2.55670767957259,0.283,0.07,8.85757837748072e-194,"1","ME1"
0,2.5216490715964,0.391,0.081,0,"1","PAX8-AS1"
6.85934259134173e-183,2.50147239199936,0.28,0.074,2.64811780081339e-178,"1","MAF"
1.6364964892066e-221,2.47007871021293,0.309,0.075,6.317858346231e-217,"1","DNAH11"
0,2.43428485586764,0.653,0.162,0,"1","ANGPTL4"
9.78172463350509e-163,2.4080026156306,0.258,0.069,3.77633261201098e-158,"1","FRMD3"
0,2.35964747419757,0.539,0.152,0,"1","TNC"
0,2.32630186841118,0.876,0.463,0,"1","HILPDA"
3.1941055332694e-233,2.25248977536081,0.378,0.109,1.23311638217398e-228,"1","SYNPO"
1.02060097981715e-269,2.25007511403137,0.381,0.095,3.94013214268207e-265,"1","BHLHE40"
1.02991186961424e-243,2.22802574421628,0.547,0.239,3.97607776383274e-239,"1","LPL"
0,2.17036383910832,0.619,0.247,0,"1","ARRDC3"
5.81319537640925e-173,2.17018152944095,0.479,0.237,2.24424220701655e-168,"1","CMC4"
0,2.14781699205228,0.981,0.501,0,"1","VOPP1"
5.86280743806304e-238,2.08108089020204,0.351,0.089,2.26339543953862e-233,"1","CXCL14"
0,2.07248957822625,0.957,0.506,0,"1","S100A10"
0,4.67871200066376,0.517,0.037,0,"2","FKBP9P1"
0,3.5781277446201,0.491,0.076,0,"2","SERPINE1"
0,3.37195786128788,0.295,0.028,0,"2","CP"
0,3.12517573506158,0.902,0.157,0,"2","SEPTIN14"
0,3.09664078817696,0.557,0.092,0,"2","SPOCD1"
0,2.98211125157618,0.377,0.07,0,"2","SDCBP2"
3.63661471736181e-292,2.95258705095221,0.319,0.054,1.4039514777847e-287,"2","KBTBD11-AS1"
1.139206832558e-274,2.84368265102853,0.269,0.038,4.3980218977734e-270,"2","PCSK1"
0,2.83489840197487,0.96,0.465,0,"2","LGALS3"
0,2.75695758779984,0.791,0.182,0,"2","NNMT"
5.60580797504429e-185,2.70650359026153,0.292,0.071,2.1641782268456e-180,"2","NHSL1-AS1"
0,2.5662437067498,0.786,0.234,0,"2","CA12"
9.50054046814695e-221,2.56036523249738,0.274,0.052,3.66777865313281e-216,"2","CDH5"
3.53350117675816e-219,2.52794616883294,0.278,0.054,1.36414346429926e-214,"2","RIN1"
1.79492881309234e-264,2.51820107023601,0.374,0.085,6.9295021758243e-260,"2","CD163L1"
0,2.51455194926099,0.559,0.106,0,"2","MGP"
0,2.48039669139111,0.786,0.167,0,"2","XIST"
0,2.43258433451076,0.725,0.257,0,"2","TCIM"
1.77739384402144e-232,2.36762489080898,0.493,0.177,6.86180667422916e-228,"2","GPAT4"
1.00960279312905e-159,2.30802706244663,0.344,0.106,3.89767254315399e-155,"2","LOX"
0,4.40300644086705,0.466,0.026,0,"3","MCM10"
0,3.88532604586573,0.404,0.029,0,"3","DTL"
0,3.7905300880172,0.462,0.036,0,"3","RMI2"
0,3.66036907011562,0.583,0.061,0,"3","TK1"
0,3.63749329879875,0.442,0.039,0,"3","CDC6"
0,3.5670216864924,0.415,0.04,0,"3","ESCO2"
0,3.49002459969862,0.589,0.055,0,"3","E2F1"
0,3.42524562367043,0.531,0.062,0,"3","MYBL2"
0,3.38988405236672,0.455,0.041,0,"3","CCNE2"
0,3.34833940330695,0.328,0.035,0,"3","LRRC26"
0,3.33890251320341,0.42,0.036,0,"3","FAM111B"
0,3.32558488319181,0.729,0.084,0,"3","CLSPN"
0,3.2047498858356,0.379,0.044,0,"3","PKMYT1"
0,3.19322625314631,0.53,0.063,0,"3","CDT1"
0,3.16143958279879,0.355,0.042,0,"3","CDCA5"
0,3.15921558991303,0.731,0.101,0,"3","MCM4"
0,3.11235527286912,0.751,0.105,0,"3","GINS2"
6.45726216525461e-231,3.09013739296156,0.254,0.031,2.4928906315182e-226,"3","ENSG00000286456"
0,3.08575524532529,0.586,0.083,0,"3","ATAD2"
0,3.07649060109651,0.505,0.067,0,"3","CHEK1"
0,4.30611618493647,0.771,0.061,0,"4","CHRNA1"
0,4.07422567418976,0.349,0.026,0,"4","CCN4"
0,3.99840237124143,0.639,0.05,0,"4","NOS2"
0,3.87915312742704,0.513,0.055,0,"4","MFAP4"
0,3.72605935218966,0.567,0.048,0,"4","TRDC"
0,3.61700060921179,0.887,0.126,0,"4","DCN"
0,3.59089463595317,0.629,0.106,0,"4","CYTL1"
0,3.35030523761379,0.466,0.05,0,"4","CPNE4"
0,3.28833672327987,0.465,0.068,0,"4","BAALC-AS2"
0,3.26798236966605,0.627,0.1,0,"4","CHST8"
0,3.17830392766701,0.602,0.093,0,"4","TRPM3"
0,3.16000324710454,0.837,0.163,0,"4","CCDC80"
0,3.1521135316805,0.365,0.049,0,"4","CREB3L1"
0,3.14784678887287,0.397,0.056,0,"4","RPH3A"
0,3.14147331583462,0.409,0.063,0,"4","NEUROD1"
0,3.06835172635327,0.54,0.089,0,"4","TMEM178A"
1.20510062050033e-179,2.99132271951485,0.263,0.043,4.65241145550358e-175,"4","SERPINI1"
0,2.91988427668812,0.497,0.077,0,"4","TENM2"
1.93569090260055e-224,2.85476011775915,0.34,0.059,7.47292829857967e-220,"4","FAT3"
2.66431156168041e-208,2.84497426043437,0.289,0.046,1.02858412150234e-203,"4","ITGA10"
0,4.98130035583411,0.258,0.014,0,"5","CPS1"
0,4.31773923736499,0.359,0.021,0,"5","REM1"
0,3.9932504250933,0.816,0.088,0,"5","BCAS1"
0,3.96673235507488,0.904,0.09,0,"5","GPR17"
0,3.9333975860095,0.535,0.034,0,"5","MIR219A2HG"
0,3.8980956812906,0.398,0.027,0,"5","ENSG00000290469"
4.99790224333844e-245,3.89328241240922,0.251,0.027,1.92949014006324e-240,"5","DAPL1"
0,3.80467808178719,0.459,0.039,0,"5","FAM242B"
0,3.79939418218879,0.462,0.032,0,"5","ENSG00000261786"
0,3.6808759247946,0.544,0.043,0,"5","LINC03048"
0,3.52542133165487,0.496,0.052,0,"5","ZNF488"
0,3.46900339002301,0.959,0.189,0,"5","FGF12"
0,3.36044886641319,0.52,0.059,0,"5","ERBB3"
0,3.29424814770043,0.863,0.212,0,"5","LINC03018"
0,3.29017259361246,0.825,0.11,0,"5","TNS3"
0,3.21358372938453,0.293,0.025,0,"5","FA2H"
0,3.18370930921394,0.491,0.056,0,"5","TSHR"
0,3.02140674435692,0.938,0.173,0,"5","PLP1"
0,3.01466349512732,0.304,0.031,0,"5","LIMS2"
