"","Var1","Var2","Freq"
"1","","  nCount_RNA","Min.   :  500  "
"2","","  nCount_RNA","1st Qu.: 3908  "
"3","","  nCount_RNA","Median : 6294  "
"4","","  nCount_RNA","Mean   : 6987  "
"5","","  nCount_RNA","3rd Qu.: 9303  "
"6","","  nCount_RNA","Max.   :52432  "
"7",""," nFeature_RNA","Min.   :  47  "
"8",""," nFeature_RNA","1st Qu.:1657  "
"9",""," nFeature_RNA","Median :2348  "
"10",""," nFeature_RNA","Mean   :2350  "
"11",""," nFeature_RNA","3rd Qu.:3026  "
"12",""," nFeature_RNA","Max.   :6941  "
"13","","  percent_mt","Min.   : 0.000  "
"14","","  percent_mt","1st Qu.: 1.974  "
"15","","  percent_mt","Median : 3.506  "
"16","","  percent_mt","Mean   : 4.480  "
"17","","  percent_mt","3rd Qu.: 5.204  "
"18","","  percent_mt","Max.   :89.662  "
